cloudnl  CloudNL                     europe        kvm      eth0     cloudnl  virtio                    "Dutch cloud provider."                                       https://cloudnl.nl
broad    Broadband                   europe        kvm      eth0     broadband virtio                   "Dutch hosting."                                              https://broadband.nl
signet   Signet                      europe        kvm      eth0     signet   virtio                    "Dutch VPS provider."                                         https://signet.nl
pc       PCextreme                   europe        kvm      eth0     pcextreme virtio                   "Dutch hosting. Good for EU."                                 https://pcextreme.nl
soyou    SoYouStart                  europe        kvm      eth0     soyyou   virtio                    "OVH budget brand. Cheap dedicated."                          https://soyoustart.com
kimsufi  Kimsufi                     europe        kvm      eth0     kimsufi  virtio                    "OVH budget brand. Very cheap."                               https://kimsufi.com
online   Online.net                  europe        kvm      eth0     onlinenet virtio                   "Scaleway brand. French DC."                                  https://online.net
ikoula   Ikoula                      europe        kvm      eth0     ikoula   virtio                    "French provider. Dedicated + VPS."                           https://ikoula.com
gandi     Gandi.net                  europe        kvm      eth0     gandi    virtio                    "French domain + VPS. Ethical."                               https://gandi.net
abs      ABS Cloud                   europe        kvm      eth0     abscloud virtio                    "Bulgarian provider."                                         https://abscloud.com
superb   SuperbVPS                   europe        kvm      eth0     superbvps virtio                   "Polish provider."                                            https://superbvps.com
mythic   Mythic Beasts               europe        kvm      eth0     mythic   virtio                    "UK provider. Raspberry Pi hosting."                          https://mythicbeasts.com
bknown   Bytemark                    europe        kvm      eth0     bytemark virtio                    "UK provider. Good support."                                  https://bytemark.co.uk
ukfast   UKFast                      europe        kvm      eth0     ukfast   virtio                    "UK managed hosting."                                         https://ukfast.co.uk
stack    Stack      Computers        europe        kvm      eth0     stackcomps virtio                  "UK provider."                                                https://stackcomputers.com
ess      ESS DATA                    europe        kvm      eth0     essdata  virtio                    "Polish datacenter."                                          https://ess-data.pl
luna     LunaNode                    europe        kvm      eth0     lunanode virtio                    "Canadian + EU. Privacy-oriented."                            https://lunanode.com

# ── TIER 7: AMERICAS ──
vultr    Vultr (Americas)            americas      kvm      eth0     vultr    virtio                    "Multiple US/CA/BR locations."                                https://vultr.com
do       DigitalOcean (Americas)     americas      kvm      eth0     digitalocean virtio                 "NYC/SFO/TOR data centers."                                   https://digitalocean.com
linode   Linode (Americas)           americas      kvm      eth0     linode   virtio                    "US/CAN locations."                                           https://linode.com
racksp   Rackspace                   americas      kvm      eth0     rackspace virtio                   "Enterprise cloud. US/UK/AU."                                 https://rackspace.com
vox      Voxility                    americas      kvm      eth0     voxility virtio                    "US/EU provider. DDoS protection."                            https://voxility.com
dacentec Dacentec                    americas      kvm      eth0     dacentec virtio                    "US East Coast. Cheap dedicated."                             https://dacentec.com
psychz   Psychz                      americas      kvm      eth0     psychz   virtio                    "US provider. DDoS protection."                               https://psychz.net
coloval   ColoValley                 americas      kvm      eth0     colovaley virtio                   "US provider. Affordable VPS."                                https://colovalley.com
host    HostUS                      americas      kvm      eth0     hostus   virtio                    "US + Asia locations."                                        https://hostus.us
santric  Santric                     americas      kvm      eth0     santric  virtio                    "Brazilian provider."                                         https://santric.com.br
lok      Locaweb                     americas      kvm      eth0     locaweb  virtio                    "Brazilian provider. Largest in BR."                          https://locaweb.com.br
umbler   Umbler                      americas      kvm      eth0     umbler   virtio                    "Brazilian cloud. Developer-friendly."                        https://umbler.com
king     KingHost                    americas      kvm      eth0     kinghost virtio                    "Brazilian web host + VPS."                                   https://kinghost.com.br
donweb   DonWeb                      americas      kvm      eth0     donweb   virtio                    "Argentinian provider. LatAm focused."                        https://donweb.com
neubox   Neubox                      americas      kvm      eth0     neubox   virtio                    "Mexican provider."                                           https://neubox.com
dattatec Dattatec                    americas      kvm      eth0     dattatec virtio                    "Argentinian provider."                                       https://dattatec.com

# ── TIER 8: AFRICA / MIDDLE EAST ──
afrihost Afrihost                    africa        kvm      eth0     afrihost virtio                    "South African provider."                                     https://afrihost.com
domains  Domains.co.za               africa        kvm      eth0     domains  virtio                    "South African hosting."                                      https://domains.co.za
absolute Absolute Hosting            africa        kvm      eth0     absolutehost virtio                "Kenyan hosting."                                             https://absolutehosting.co.ke
layer    LayerHost                   africa        kvm      eth0     layerhost virtio                   "South African cloud."                                        https://layerhost.com
arub     Aruba Cloud                 middleeast    kvm      eth0     aruba    virtio                    "Italian provider. Middle East DCs."                          https://aruba.it
ovh      OVH Middle East             middleeast    kvm      eth0     ovh      virtio                    "OVH in Middle East."                                         https://ovh.com
pccw     PCCW                        middleeast    kvm      eth0     pccw     virtio                    "Hong Kong + Middle East."                                    https://pccw.com
e24      E24 Cloud                   middleeast    kvm      eth0     e24      virtio                    "UAE-based cloud."                                           https://e24cloud.com
oracle   Oracle Cloud (ME)           middleeast    kvm      eth0     oci      ena,nvme                  "OCI Middle East regions."                                    https://oracle.com
